Coordinate Data,
723,180
723,180
844,404
845,404
845,403
846,402
847,402
847,401
848,401
849,400
850,400
851,399
852,399
853,399
854,399
855,399
856,398
857,398
858,397
859,397
859,396
859,395
860,394
860,393
860,392
860,391
860,390
860,389
860,388
860,387
860,386
860,384
860,383
859,382
859,381
858,380
857,379
856,378
854,377
853,376
851,375
849,374
846,374
843,373
840,373
837,373
833,372
829,372
825,372
820,372
815,373
810,373
804,373
799,374
794,375
789,376
778,378
773,380
768,381
763,383
757,386
752,388
747,390
741,393
736,396
731,399
726,402
721,405
717,409
713,413
709,417
705,421
702,425
700,429
698,434
696,438
695,443
694,447
694,452
694,456
695,461
697,465
699,469
702,473
705,477
709,481
713,484
718,487
730,493
736,496
743,499
750,501
757,503
765,505
772,507
779,509
787,510
794,511
802,512
809,513
816,513
823,514
830,514
837,514
843,514
849,514
854,513
864,512
868,512
871,511
874,511
877,511
878,511
880,511
881,510
880,510
880,509
880,508
881,507
881,506
881,505
882,505
882,504
883,504
885,501
891,493
903,476
930,440
964,389
1007,326
1046,277
1099,209
1163,143
1230,78
1307,4
